epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.428,1.45594,3.68844,0.01828,0.48553,0.30202,0.30615,0.15927,1.57519,2.26965,0.02503,0.0042707,0.0042707,0.0709579
2,390.582,1.45265,2.60812,0.01843,0.54608,0.37557,0.38778,0.20536,1.59343,2.06785,0.0257,0.00826208,0.00826208,0.041616
3,568.989,1.48131,2.35341,0.01898,0.63964,0.42002,0.48206,0.25207,1.5832,1.82291,0.02539,0.0119714,0.0119714,0.011992
4,757.157,1.49281,2.22975,0.01912,0.65729,0.47388,0.54151,0.28577,1.59171,1.62306,0.02586,0.0115508,0.0115508,0.0115508
5,945.473,1.4865,2.11221,0.01913,0.63523,0.48652,0.55339,0.29085,1.60381,1.62977,0.02568,0.0111278,0.0111278,0.0111278
6,1131.1,1.49286,2.01851,0.01898,0.64635,0.51041,0.57359,0.30257,1.60189,1.54957,0.02561,0.0107047,0.0107047,0.0107047
7,1315.81,1.48,1.95077,0.01892,0.6779,0.54442,0.60819,0.32464,1.58535,1.43612,0.02508,0.0102816,0.0102816,0.0102816
8,1496.94,1.47471,1.89785,0.01887,0.67759,0.55371,0.62231,0.33995,1.56189,1.39225,0.02471,0.00985858,0.00985858,0.00985858
9,1681.99,1.47459,1.83999,0.01868,0.69158,0.55921,0.62566,0.34119,1.58627,1.39051,0.02501,0.00943552,0.00943552,0.00943552
10,1864.88,1.46897,1.79907,0.0187,0.69854,0.57565,0.64357,0.35405,1.56561,1.32932,0.02474,0.00901246,0.00901246,0.00901246
11,2047.71,1.46262,1.75745,0.01845,0.72795,0.56765,0.65524,0.36538,1.55647,1.2835,0.02443,0.0085894,0.0085894,0.0085894
12,2230.64,1.45788,1.7023,0.01831,0.72311,0.59529,0.6706,0.37433,1.53663,1.24788,0.02414,0.00816634,0.00816634,0.00816634
13,2414.82,1.4511,1.65514,0.01822,0.71524,0.60314,0.67286,0.37566,1.53571,1.25205,0.02402,0.00774328,0.00774328,0.00774328
14,2603.43,1.44004,1.61749,0.01796,0.73152,0.61162,0.68811,0.39008,1.52874,1.19723,0.02377,0.00732022,0.00732022,0.00732022
15,2789.25,1.43394,1.57256,0.01776,0.75679,0.6179,0.69608,0.39822,1.52147,1.17829,0.0237,0.00689716,0.00689716,0.00689716
16,2976.63,1.42298,1.53106,0.01756,0.75348,0.63226,0.70616,0.40708,1.51379,1.14047,0.02316,0.0064741,0.0064741,0.0064741
17,3166.54,1.41198,1.49646,0.0174,0.75296,0.62787,0.70879,0.41216,1.50796,1.11457,0.02305,0.00605104,0.00605104,0.00605104
18,3355.79,1.39397,1.46484,0.01716,0.74771,0.63847,0.71419,0.41682,1.50375,1.10122,0.02294,0.00562798,0.00562798,0.00562798
19,3543.67,1.38751,1.42823,0.01691,0.76952,0.64358,0.7234,0.42656,1.48828,1.08198,0.0225,0.00520492,0.00520492,0.00520492
20,3728.42,1.37018,1.36339,0.01681,0.79563,0.62659,0.731,0.43234,1.49297,1.0669,0.02261,0.00478186,0.00478186,0.00478186
21,3934.79,1.43995,1.23442,0.02247,0.77019,0.64907,0.73467,0.43972,1.47393,1.04683,0.02227,0.0043588,0.0043588,0.0043588
22,4122.31,1.40876,1.17426,0.02171,0.77852,0.65184,0.73912,0.44647,1.46483,1.03617,0.02214,0.00393574,0.00393574,0.00393574
23,4313.17,1.38186,1.08484,0.0209,0.77336,0.66058,0.74867,0.45348,1.4573,1.02157,0.02194,0.00351268,0.00351268,0.00351268
24,4504.98,1.34162,1.03589,0.02007,0.79202,0.65145,0.752,0.45802,1.45316,1.01382,0.0219,0.00308962,0.00308962,0.00308962
25,4692.9,1.31326,0.9781,0.0193,0.76488,0.67602,0.7545,0.46392,1.44623,0.99475,0.02174,0.00266656,0.00266656,0.00266656
26,4882.31,1.26812,0.92861,0.01839,0.7719,0.67975,0.76033,0.46825,1.44047,0.98416,0.02161,0.0022435,0.0022435,0.0022435
27,5075.16,1.23711,0.87981,0.01777,0.78815,0.66777,0.76198,0.47103,1.4323,0.98382,0.02141,0.00182044,0.00182044,0.00182044
28,5262.87,1.2012,0.83254,0.01701,0.799,0.66932,0.76506,0.4724,1.42586,0.98283,0.02127,0.00139738,0.00139738,0.00139738
29,5449.23,1.16403,0.79814,0.01636,0.79313,0.67655,0.76603,0.47425,1.42516,0.97264,0.02127,0.00097432,0.00097432,0.00097432
30,5635.49,1.13511,0.76821,0.0158,0.79579,0.68062,0.76724,0.47597,1.42575,0.96417,0.02128,0.00055126,0.00055126,0.00055126
