epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.905,1.46825,3.63627,0.01813,0.46778,0.31569,0.31672,0.15789,1.60137,2.25971,0.0255,0.00464713,0.00464713,0.0713343
2,409.276,1.48743,2.58189,0.01861,0.54411,0.39219,0.40911,0.20248,1.67207,2.01447,0.0275,0.00899033,0.00899033,0.0423442
3,598.952,1.53503,2.37042,0.01936,0.55797,0.43209,0.45196,0.22356,1.66624,1.88858,0.02733,0.0130266,0.0130266,0.0130472
4,779.907,1.54315,2.24089,0.01948,0.59536,0.48497,0.5203,0.27047,1.63944,1.65783,0.02643,0.012569,0.012569,0.012569
5,958.089,1.5288,2.10615,0.01935,0.6289,0.48673,0.53806,0.27555,1.64701,1.6423,0.02689,0.0121086,0.0121086,0.0121086
6,1137.4,1.52099,1.99819,0.01896,0.64598,0.50626,0.56577,0.30158,1.59329,1.55869,0.0254,0.0116483,0.0116483,0.0116483
7,1315.36,1.50833,1.9321,0.01894,0.6495,0.53215,0.59714,0.32144,1.59414,1.46126,0.02531,0.0111879,0.0111879,0.0111879
8,1494.1,1.49841,1.84691,0.01871,0.67919,0.56795,0.62602,0.33902,1.59628,1.37848,0.02547,0.0107275,0.0107275,0.0107275
9,1672.99,1.49469,1.78594,0.01852,0.69679,0.56815,0.63931,0.34752,1.59405,1.35206,0.02539,0.0102672,0.0102672,0.0102672
10,1852.38,1.47445,1.728,0.01828,0.7106,0.57908,0.65165,0.36151,1.56476,1.29935,0.02463,0.00980685,0.00980685,0.00980685
11,2031.78,1.4666,1.68285,0.01803,0.711,0.57642,0.65721,0.36898,1.55339,1.27,0.02412,0.0093465,0.0093465,0.0093465
12,2210.63,1.45945,1.61878,0.01778,0.72666,0.59415,0.67594,0.38027,1.54487,1.23727,0.02385,0.00888615,0.00888615,0.00888615
13,2397.52,1.43744,1.5666,0.01758,0.76045,0.59822,0.69076,0.39568,1.53619,1.17351,0.02373,0.0084258,0.0084258,0.0084258
14,2586.63,1.42551,1.52979,0.01728,0.74944,0.60821,0.69663,0.40156,1.51368,1.16916,0.02365,0.00796545,0.00796545,0.00796545
15,2773.62,1.41204,1.49036,0.01698,0.74523,0.62005,0.70259,0.40612,1.50425,1.15386,0.02316,0.0075051,0.0075051,0.0075051
16,2959.66,1.40186,1.43924,0.01679,0.76194,0.62135,0.71004,0.41331,1.49615,1.11895,0.02279,0.00704475,0.00704475,0.00704475
